epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6446609497070312,0.6838735342025757,0.6472761034965515,0.6334887742996216,0.6598047018051147,0.6705904006958008,0.7281321883201599,0.6395919919013977,0.6699442863464355,0.6725257039070129
1,0.680020809173584,0.7313778400421143,0.6144793629646301,0.67586350440979,0.6723673939704895,0.7246694564819336,0.8001419305801392,0.5533225536346436,0.7484676837921143,0.6768012642860413
2,0.7482982873916626,0.8106544017791748,0.5430651903152466,0.7551684379577637,0.7230404019355774,0.727889358997345,0.8265426754951477,0.5519700050354004,0.6733726859092712,0.8851411938667297
3,0.7950116991996765,0.8614826202392578,0.4750170111656189,0.804026186466217,0.7716020345687866,0.7733643054962158,0.8507076501846313,0.485714852809906,0.7678700685501099,0.7836368680000305
4,0.8297999501228333,0.902702271938324,0.4042627513408661,0.8356260657310486,0.8144101500511169,0.7883290648460388,0.8711205124855042,0.4992465078830719,0.7475640177726746,0.8706783056259155
5,0.8576773405075073,0.9299377799034119,0.3456590473651886,0.8586418032646179,0.8509369492530823,0.802765965461731,0.8816623091697693,0.46290501952171326,0.7611070871353149,0.8825547695159912
6,0.8792933225631714,0.9493947625160217,0.29387906193733215,0.8794246912002563,0.8746898770332336,0.7931853532791138,0.8847290277481079,0.5345152020454407,0.7278021574020386,0.9367115497589111
7,0.8974539041519165,0.961917519569397,0.25528398156166077,0.8953500390052795,0.8964370489120483,0.8118979334831238,0.8890416026115417,0.49417999386787415,0.7592349052429199,0.9134864211082458
8,0.9092751145362854,0.9702441692352295,0.2259562611579895,0.9087879061698914,0.90667724609375,0.806170642375946,0.8851274847984314,0.6197890639305115,0.7443241477012634,0.9327527284622192
9,0.9185502529144287,0.9758614897727966,0.2035692185163498,0.9175028800964355,0.9169701933860779,0.8113172650337219,0.8904024958610535,0.5709487795829773,0.7509573698043823,0.9315914511680603
10,0.9257469177246094,0.9793068766593933,0.1885361671447754,0.9241234064102173,0.9250989556312561,0.8105518817901611,0.8891615867614746,0.6439241170883179,0.7459554076194763,0.9418843984603882
