epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6483242511749268,0.6903016567230225,0.6435624957084656,0.6316250562667847,0.6850356459617615,0.6684525609016418,0.7272202372550964,0.6243955492973328,0.6919006705284119,0.6073898077011108
1,0.663263201713562,0.7175043225288391,0.6227127909660339,0.6442066431045532,0.70551598072052,0.7037662863731384,0.7785320281982422,0.5710552930831909,0.7099581360816956,0.6890472173690796
2,0.7318524122238159,0.7980018258094788,0.5547909736633301,0.7326033115386963,0.7168645858764648,0.753200113773346,0.8323102593421936,0.509893536567688,0.7777327299118042,0.7090525031089783
3,0.791348397731781,0.8663479089736938,0.4646379351615906,0.8074019551277161,0.7565584778785706,0.7709625363349915,0.8567163348197937,0.529348611831665,0.7273572683334351,0.8668777942657471
4,0.8298259377479553,0.9079422950744629,0.392600953578949,0.8437517285346985,0.8029559254646301,0.7900974154472351,0.8710677027702332,0.46949246525764465,0.7583678364753723,0.8515175580978394
5,0.8567420244216919,0.9335546493530273,0.33431941270828247,0.8619630336761475,0.8441277146339417,0.7884082198143005,0.8764586448669434,0.49211549758911133,0.7309187650680542,0.912905752658844
6,0.878358006477356,0.9515312314033508,0.2858801782131195,0.877348005771637,0.8752177357673645,0.7967219948768616,0.8787382245063782,0.5920093655586243,0.7394675016403198,0.9162839651107788
7,0.8933749198913574,0.9628618955612183,0.24845081567764282,0.893014132976532,0.8899973630905151,0.8081237077713013,0.8877536654472351,0.4996107518672943,0.755325198173523,0.9115334153175354
8,0.9037672281265259,0.9711853265762329,0.2176293283700943,0.9041205048561096,0.8999208211898804,0.8116075992584229,0.8893892765045166,0.5668243169784546,0.7594602704048157,0.9121140241622925
9,0.9130942821502686,0.976414680480957,0.19660240411758423,0.9163108468055725,0.9062021374702454,0.7959038019180298,0.8835921883583069,0.6604408025741577,0.725412130355835,0.9522829055786133
