epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.643241286277771,0.6895326972007751,0.645740270614624,0.625899612903595,0.6839799284934998,0.669877827167511,0.7288711071014404,0.6525359153747559,0.6945770978927612,0.6064397096633911
1,0.6685718894004822,0.7265477776527405,0.617867648601532,0.6694785356521606,0.6451306343078613,0.7190213799476624,0.7898316979408264,0.5611764788627625,0.7126531004905701,0.7340195178985596
2,0.7360941767692566,0.8064992427825928,0.5462984442710876,0.7545628547668457,0.6874109506607056,0.7472881078720093,0.8294385671615601,0.5169505476951599,0.7138292789459229,0.8255476355552673
3,0.7874827980995178,0.8643742799758911,0.4680447280406952,0.7989779710769653,0.7592504620552063,0.7611972093582153,0.8528885245323181,0.4995167851448059,0.7107448577880859,0.8809184432029724
4,0.8249980807304382,0.9048283696174622,0.3970860540866852,0.8232802152633667,0.8205859065055847,0.7846340537071228,0.8669887185096741,0.47578901052474976,0.7511059641838074,0.8514119982719421
5,0.8505105376243591,0.9307671785354614,0.3393299877643585,0.8521168231964111,0.8424914479255676,0.7829713225364685,0.8690760731697083,0.583608865737915,0.7343708872795105,0.8866719603538513
6,0.8714504837989807,0.9489490389823914,0.2910939157009125,0.8766887187957764,0.8597519397735596,0.8048509955406189,0.8845179080963135,0.48549550771713257,0.7652841210365295,0.8794404864311218
7,0.8903639912605286,0.9621471762657166,0.2502075135707855,0.8963233828544617,0.878912627696991,0.8068304657936096,0.8853750228881836,0.5622525811195374,0.7619884610176086,0.8924254179000854
8,0.8996908664703369,0.9698898792266846,0.220607727766037,0.904526948928833,0.8901557326316833,0.8061970472335815,0.8817722797393799,0.6578353047370911,0.7542514204978943,0.908366322517395
9,0.9090956449508667,0.9748356342315674,0.20122863352298737,0.9131714105606079,0.9009765386581421,0.8015255331993103,0.8749720454216003,0.866936445236206,0.7380902767181396,0.9347584843635559
