epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6417770981788635,0.684481143951416,0.6486724615097046,0.6407554745674133,0.619583010673523,0.6700625419616699,0.7301543951034546,0.6226033568382263,0.6577555537223816,0.7091053128242493
1,0.67433100938797,0.7333298325538635,0.6133790612220764,0.6591992974281311,0.7005014419555664,0.7294201254844666,0.8007267117500305,0.5490408539772034,0.7438702583312988,0.6998152732849121
2,0.748376190662384,0.816033661365509,0.533955991268158,0.7693113088607788,0.6981261372566223,0.7613027691841125,0.8384619355201721,0.5170680284500122,0.7683343291282654,0.7482185363769531
3,0.7979995012283325,0.8739607930183411,0.45396867394447327,0.8209401369094849,0.7540776133537292,0.7806487083435059,0.8591508269309998,0.47463613748550415,0.7720249891281128,0.7965162396430969
4,0.8320083022117615,0.9098606109619141,0.3874431550502777,0.8509872555732727,0.7985220551490784,0.7917337417602539,0.8718342781066895,0.46694839000701904,0.7718374729156494,0.8283452391624451
5,0.8547155261039734,0.9339820742607117,0.3321284055709839,0.8775233030319214,0.8191606998443604,0.7933964729309082,0.8783932328224182,0.5159835815429688,0.739559531211853,0.9057798981666565
6,0.8746687173843384,0.9504329562187195,0.2875148057937622,0.8907521367073059,0.8495645523071289,0.8020269870758057,0.8833265900611877,0.5325302481651306,0.7571916580200195,0.8892055749893188
7,0.8909067511558533,0.962008535861969,0.25074952840805054,0.9107978343963623,0.8628661632537842,0.7982000112533569,0.8783526420593262,0.6812697649002075,0.7477959394454956,0.8999208211898804
8,0.9010132551193237,0.9691593647003174,0.22517143189907074,0.9200199842453003,0.8749538064002991,0.8027395606040955,0.8805227875709534,0.689444363117218,0.750754177570343,0.9064133167266846
9,0.9108859300613403,0.9751687049865723,0.20090344548225403,0.9341803193092346,0.8810240030288696,0.8102351427078247,0.8872944712638855,0.7215876579284668,0.7607702016830444,0.9050936698913574
